Sequence Number n,EEG (V),,,
2,1.47E-06,,,
3,1.31E-06,,,
4,9.26E-07,,,
5,1.31E-06,,,
6,1.16E-06,,,
7,9.26E-07,,,
8,1.54E-07,,,
9,-7.71E-08,,,
10,1.54E-07,,,
11,-7.71E-08,,,
12,-7.71E-07,,,
13,-5.40E-07,,,
14,-3.09E-07,,,
15,-1.00E-06,,,
0,-1.54E-06,,,
1,-8.48E-07,,,
2,-1.00E-06,,,
3,-6.17E-07,,,
4,7.71E-08,,,
5,5.40E-07,,,
6,1.23E-06,,,
7,9.26E-07,,,
8,6.94E-07,,,
9,8.48E-07,,,
10,3.09E-07,,,
11,-4.63E-07,,,
12,-3.86E-07,,,
13,-3.86E-07,,,
14,-7.71E-07,,,
15,-1.31E-06,,,
0,-1.93E-06,,,
1,-1.47E-06,,,
2,-1.08E-06,,,
3,-6.94E-07,,,
4,7.71E-08,,,
5,2.31E-07,,,
6,7.71E-08,,,
7,0,,,
8,-6.17E-07,,,
9,-1.00E-06,,,
10,-3.09E-07,,,
11,-6.17E-07,,,
12,-3.09E-07,,,
13,3.86E-07,,,
14,7.71E-08,,,
15,-3.86E-07,,,
0,-7.71E-08,,,
1,1.54E-07,,,
2,-1.54E-07,,,
3,3.09E-07,,,
4,0,,,
5,3.86E-07,,,
6,5.40E-07,,,
7,4.63E-07,,,
8,2.31E-07,,,
9,8.48E-07,,,
10,6.17E-07,,,
11,4.63E-07,,,
12,0,,,
13,3.09E-07,,,
14,1.54E-07,,,
15,-3.09E-07,,,
0,-1.54E-07,,,
1,3.86E-07,,,
2,1.54E-07,,,
3,3.09E-07,,,
4,1.08E-06,,,
5,1.23E-06,,,
6,6.17E-07,,,
7,2.31E-07,,,
8,-3.09E-07,,,
9,7.71E-08,,,
10,2.31E-07,,,
11,5.40E-07,,,
12,6.94E-07,,,
13,1.08E-06,,,
14,6.94E-07,,,
15,4.63E-07,,,
0,-1.54E-07,,,
1,3.86E-07,,,
2,7.71E-08,,,
3,4.63E-07,,,
4,1.08E-06,,,
5,1.47E-06,,,
6,7.71E-07,,,
7,1.54E-07,,,
8,7.71E-08,,,
9,7.71E-08,,,
10,0,,,
11,-6.17E-07,,,
12,7.71E-08,,,
13,1.54E-07,,,
14,0,,,
15,-3.09E-07,,,
0,-6.94E-07,,,
1,0,,,
2,-1.54E-07,,,
3,3.86E-07,,,
4,9.26E-07,,,
5,1.39E-06,,,
6,1.16E-06,,,
7,6.17E-07,,,
8,6.94E-07,,,
9,1.00E-06,,,
10,4.63E-07,,,
11,0,,,
12,3.09E-07,,,
13,7.71E-08,,,
14,0,,,
15,-6.17E-07,,,
0,-1.23E-06,,,
1,-6.94E-07,,,
2,-3.09E-07,,,
3,0,,,
4,8.48E-07,,,
5,6.94E-07,,,
6,0,,,
7,-4.63E-07,,,
8,-9.26E-07,,,
9,-2.31E-07,,,
10,-1.54E-07,,,
11,-6.94E-07,,,
12,-6.94E-07,,,
13,-1.54E-07,,,
14,-4.63E-07,,,
15,-7.71E-07,,,
0,-5.40E-07,,,
1,-2.31E-07,,,
2,0,,,
3,5.40E-07,,,
4,-7.71E-08,,,
5,1.54E-07,,,
6,7.71E-08,,,
7,-4.63E-07,,,
8,-1.00E-06,,,
9,-6.17E-07,,,
10,-1.00E-06,,,
11,-1.16E-06,,,
12,-1.31E-06,,,
13,-4.63E-07,,,
14,-6.17E-07,,,
15,-1.16E-06,,,
0,-1.08E-06,,,
1,-3.09E-07,,,
2,-6.94E-07,,,
3,-2.31E-07,,,
4,5.40E-07,,,
5,6.94E-07,,,
6,6.94E-07,,,
7,-2.31E-07,,,
8,-1.08E-06,,,
9,-7.71E-07,,,
10,-6.17E-07,,,
11,-7.71E-07,,,
12,-1.23E-06,,,
13,-3.09E-07,,,
14,-7.71E-08,,,
15,-3.86E-07,,,
0,-6.94E-07,,,
1,7.71E-08,,,
2,0,,,
3,4.63E-07,,,
4,9.26E-07,,,
5,1.54E-06,,,
6,1.08E-06,,,
7,4.63E-07,,,
8,6.17E-07,,,
9,3.86E-07,,,
10,0,,,
11,-6.17E-07,,,
12,-1.00E-06,,,
13,-6.17E-07,,,
14,-3.86E-07,,,
15,-5.40E-07,,,
0,-1.08E-06,,,
1,-4.63E-07,,,
2,-5.40E-07,,,
3,-5.40E-07,,,
4,-2.31E-07,,,
5,5.40E-07,,,
6,4.63E-07,,,
7,7.71E-08,,,
8,1.54E-07,,,
9,8.48E-07,,,
10,1.54E-07,,,
11,-3.86E-07,,,
12,0,,,
13,7.71E-08,,,
14,-2.31E-07,,,
15,-6.94E-07,,,
0,-1.23E-06,,,
1,-7.71E-07,,,
2,-6.17E-07,,,
3,-3.86E-07,,,
4,5.40E-07,,,
5,4.63E-07,,,
6,1.54E-07,,,
7,-5.40E-07,,,
8,-1.08E-06,,,
9,-3.09E-07,,,
10,-3.86E-07,,,
11,-4.63E-07,,,
12,-5.40E-07,,,
13,7.71E-08,,,
14,-7.71E-08,,,
15,-3.09E-07,,,
0,-7.71E-08,,,
1,7.71E-08,,,
2,4.63E-07,,,
3,1.16E-06,,,
4,6.94E-07,,,
5,1.00E-06,,,
6,9.26E-07,,,
7,5.40E-07,,,
8,0,,,
9,6.94E-07,,,
10,5.40E-07,,,
11,3.86E-07,,,
12,3.09E-07,,,
13,6.17E-07,,,
14,2.31E-07,,,
15,1.54E-07,,,
0,4.63E-07,,,
1,1.16E-06,,,
2,1.00E-06,,,
3,1.47E-06,,,
4,2.16E-06,,,
5,1.85E-06,,,
6,1.00E-06,,,
7,5.40E-07,,,
8,-7.71E-08,,,
9,4.63E-07,,,
10,6.17E-07,,,
11,3.09E-07,,,
12,-7.71E-08,,,
13,5.40E-07,,,
14,3.86E-07,,,
15,2.31E-07,,,
0,0,,,
1,6.94E-07,,,
2,4.63E-07,,,
3,6.94E-07,,,
4,1.00E-06,,,
5,1.77E-06,,,
6,1.31E-06,,,
7,8.48E-07,,,
8,-7.71E-08,,,
9,-4.63E-07,,,
10,-1.39E-06,,,
11,-1.47E-06,,,
12,-6.17E-07,,,
13,6.94E-07,,,
14,1.16E-06,,,
15,7.71E-07,,,
0,3.86E-07,,,
1,7.71E-07,,,
2,4.63E-07,,,
3,7.71E-07,,,
4,1.00E-06,,,
5,1.54E-06,,,
6,1.31E-06,,,
7,6.94E-07,,,
8,6.94E-07,,,
9,1.08E-06,,,
10,9.26E-07,,,
11,3.09E-07,,,
12,7.71E-07,,,
13,3.09E-07,,,
14,7.71E-08,,,
15,-1.54E-07,,,
0,-6.17E-07,,,
1,7.71E-08,,,
2,2.31E-07,,,
3,5.40E-07,,,
4,1.23E-06,,,
5,1.23E-06,,,
6,7.71E-07,,,
7,5.40E-07,,,
8,2.31E-07,,,
9,8.48E-07,,,
10,6.94E-07,,,
11,6.17E-07,,,
12,6.17E-07,,,
13,1.00E-06,,,
14,6.17E-07,,,
15,3.09E-07,,,
0,4.63E-07,,,
1,2.31E-07,,,
2,5.40E-07,,,
3,1.00E-06,,,
4,6.17E-07,,,
5,9.26E-07,,,
6,1.08E-06,,,
7,5.40E-07,,,
8,1.54E-07,,,
9,9.26E-07,,,
10,4.63E-07,,,
11,5.40E-07,,,
12,2.31E-07,,,
13,6.17E-07,,,
14,6.94E-07,,,
15,1.54E-07,,,
0,2.31E-07,,,
1,8.48E-07,,,
2,7.71E-07,,,
3,1.16E-06,,,
4,2.01E-06,,,
5,1.70E-06,,,
6,1.08E-06,,,
7,5.40E-07,,,
8,9.26E-07,,,
9,6.94E-07,,,
10,2.31E-07,,,
11,-1.54E-07,,,
12,-6.94E-07,,,
13,0,,,
14,-7.71E-08,,,
15,-7.71E-08,,,
0,-2.31E-07,,,
1,5.40E-07,,,
2,4.63E-07,,,
3,1.23E-06,,,
4,1.16E-06,,,
5,1.77E-06,,,
6,1.16E-06,,,
7,6.94E-07,,,
8,7.71E-07,,,
9,6.17E-07,,,
10,0,,,
11,-3.09E-07,,,
12,-1.00E-06,,,
13,-5.40E-07,,,
14,-1.54E-07,,,
15,-3.09E-07,,,
0,-7.71E-07,,,
1,-1.54E-07,,,
2,-6.17E-07,,,
3,-6.17E-07,,,
4,-6.94E-07,,,
5,7.71E-08,,,
6,7.71E-08,,,
7,-4.63E-07,,,
8,-3.86E-07,,,
9,-7.71E-08,,,
10,-3.09E-07,,,
11,-8.48E-07,,,
12,-6.17E-07,,,
13,-5.40E-07,,,
14,-1.16E-06,,,
15,-1.31E-06,,,
0,-1.93E-06,,,
1,-1.31E-06,,,
2,-1.00E-06,,,
3,-6.94E-07,,,
4,2.31E-07,,,
5,2.31E-07,,,
6,-3.86E-07,,,
7,-9.26E-07,,,
8,-1.31E-06,,,
9,-4.63E-07,,,
10,-6.94E-07,,,
11,-1.00E-06,,,
12,-1.00E-06,,,
13,-3.86E-07,,,
14,-6.17E-07,,,
15,-8.48E-07,,,
0,-4.63E-07,,,
1,7.71E-08,,,
2,0,,,
3,5.40E-07,,,
4,2.31E-07,,,
5,4.63E-07,,,
6,4.63E-07,,,
7,7.71E-08,,,
8,-4.63E-07,,,
9,-7.71E-08,,,
10,-3.09E-07,,,
11,-4.63E-07,,,
12,-3.09E-07,,,
13,3.09E-07,,,
14,7.71E-08,,,
15,-2.31E-07,,,
0,-1.54E-07,,,
1,4.63E-07,,,
2,7.71E-08,,,
3,4.63E-07,,,
4,1.00E-06,,,
5,1.00E-06,,,
6,9.26E-07,,,
7,1.54E-07,,,
8,-6.17E-07,,,
9,-1.54E-07,,,
10,0,,,
11,-7.71E-08,,,
12,-4.63E-07,,,
13,7.71E-08,,,
14,-7.71E-08,,,
15,0,,,
0,-4.63E-07,,,
1,3.86E-07,,,
2,0,,,
3,4.63E-07,,,
4,8.48E-07,,,
5,1.54E-06,,,
6,1.16E-06,,,
7,6.94E-07,,,
8,8.48E-07,,,
9,4.63E-07,,,
10,2.31E-07,,,
11,-5.40E-07,,,
12,1.54E-07,,,
13,2.31E-07,,,
14,-7.71E-08,,,
15,-5.40E-07,,,
0,-1.00E-06,,,
1,-3.09E-07,,,
2,-3.86E-07,,,
3,-3.86E-07,,,
4,-3.09E-07,,,
5,3.86E-07,,,
6,3.86E-07,,,
7,2.31E-07,,,
8,4.63E-07,,,
9,8.48E-07,,,
10,5.40E-07,,,
11,7.71E-08,,,
12,2.31E-07,,,
13,3.86E-07,,,
14,0,,,
15,-4.63E-07,,,
0,-6.17E-07,,,
1,-2.31E-07,,,
2,2.31E-07,,,
3,5.40E-07,,,
4,1.23E-06,,,
5,1.39E-06,,,
6,6.94E-07,,,
7,2.31E-07,,,
8,-3.09E-07,,,
9,3.09E-07,,,
10,-7.71E-08,,,
11,-5.40E-07,,,
12,-3.86E-07,,,
13,3.09E-07,,,
14,3.09E-07,,,
15,-3.09E-07,,,
0,-7.71E-08,,,
1,-7.71E-08,,,
2,2.31E-07,,,
3,3.86E-07,,,
4,1.54E-07,,,
5,5.40E-07,,,
6,5.40E-07,,,
7,7.71E-08,,,
8,-7.71E-08,,,
9,3.86E-07,,,
10,3.09E-07,,,
11,2.31E-07,,,
12,0,,,
13,5.40E-07,,,
